Run,astrological_experience,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12
12898255,0,D,D,B,E,A,C,B,E,D,A,B,B
12875249,0,E,D,A,B,E,A,C,C,B,A,D,C
12874810,0,B,C,A,D,E,B,E,A,D,C,A,C
12847327,0,E,D,D,E,B,C,C,C,E,B,C,A
12843551,0,E,B,E,D,D,A,E,C,A,C,E,D
12838000,0,D,E,B,A,A,D,B,E,C,C,E,E
12837844,0,D,E,A,C,B,A,B,D,B,E,B,A
12837750,0,B,D,C,A,E,E,D,E,B,C,E,A
12836423,0,E,E,A,E,D,D,D,C,C,E,A,A
12825815,0,B,A,D,A,A,A,B,C,C,E,C,B
12823984,0,B,C,C,E,B,D,A,C,E,E,B,C
12821212,0,B,C,D,B,D,A,D,E,C,D,E,D
12814466,0,C,B,C,E,A,C,C,A,B,B,C,C
12813585,0,B,C,E,D,B,A,E,D,C,A,E,D
12810907,0,C,B,E,E,C,C,D,C,A,D,A,C
12810309,0,D,C,D,D,D,D,D,D,D,D,D,D
12810290,0,C,C,A,A,C,B,A,C,E,E,D,D
12800619,0,C,E,D,D,B,D,C,C,C,B,B,C
12800442,0,B,D,A,C,E,D,C,E,A,B,D,D
12800295,0,E,E,E,C,D,A,A,A,D,B,E,D
12799487,0,D,E,D,B,C,C,E,A,C,A,E,B
12796346,0,B,E,B,D,E,B,C,D,D,A,D,A
12795399,0,B,C,D,C,E,A,A,B,E,C,E,D
12789986,0,A,A,A,A,A,A,A,A,A,A,A,A
12789968,0,E,D,C,D,A,C,E,C,E,E,D,D
12789302,0,B,C,B,A,A,E,D,D,D,B,A,A
12788633,0,B,E,A,B,C,A,D,A,C,A,A,A
12785270,0,C,A,E,B,C,C,E,B,E,E,D,D
12782967,0,C,B,E,B,D,C,A,E,A,A,A,B
12781788,0,B,C,D,D,B,C,C,C,C,E,E,D
12780782,0,B,A,A,A,A,A,A,A,A,A,A,A
12780774,0,B,C,B,A,E,C,D,C,D,B,A,A
12780477,0,B,C,C,A,C,A,B,C,E,A,D,B
12780345,0,B,E,C,A,B,E,D,D,D,A,E,E
12780281,0,D,C,B,A,C,A,D,E,C,A,E,D
12780156,0,B,C,A,E,E,E,C,E,B,C,E,D
12779875,0,B,C,E,A,E,D,C,B,B,E,A,D
12779831,0,D,E,A,C,B,E,C,D,B,C,A,C
12776925,0,A,B,E,E,B,A,E,C,E,C,E,D
12775918,0,A,D,A,B,D,B,D,E,C,A,A,D
12775468,0,A,B,D,B,D,B,E,C,C,C,D,C
12775153,0,D,E,B,C,A,C,B,D,A,E,B,C
12775100,0,C,D,E,C,E,A,D,B,C,E,A,D
12775019,0,D,E,A,A,E,E,C,E,B,A,B,C
12774925,0,C,A,C,A,E,B,C,C,A,D,E,A
12774844,0,D,C,B,A,B,A,E,D,E,A,A,A
12774834,0,C,D,B,C,C,A,E,D,B,A,E,C
12774734,0,D,A,E,B,B,C,A,B,D,A,E,D
12774631,0,C,E,E,C,E,E,A,B,B,A,E,C
12774602,0,C,A,E,A,B,D,C,C,B,E,A,B
12774470,0,B,D,A,E,B,C,A,C,A,B,C,D
12774226,0,E,A,C,C,B,C,A,E,E,B,C,D
12774199,0,C,E,C,B,A,E,C,C,B,E,A,B
12774175,0,B,D,C,E,B,D,A,C,A,E,C,A
12774010,0,A,A,A,D,E,E,C,B,E,D,A,B
12773853,0,A,D,C,A,E,B,C,E,A,B,C,B
12773824,0,C,A,D,B,E,B,C,D,D,E,B,A
12773708,0,B,A,E,C,C,D,E,B,D,A,A,E
12773490,0,B,E,B,C,E,A,D,C,C,C,C,D
12773451,0,E,B,C,C,D,A,A,D,D,B,D,D
12773420,0,A,B,C,D,D,E,C,C,D,D,A,B
12773385,0,A,B,C,D,E,D,B,A,C,E,A,D
12773368,0,B,E,C,D,E,D,A,C,A,E,A,C
12773353,0,D,A,C,A,B,D,E,D,E,C,B,A
12773345,0,A,B,D,A,C,B,E,A,D,B,D,E
12773282,0,A,D,E,A,B,D,E,E,E,B,C,B
12773246,0,B,C,D,E,A,D,C,B,A,D,E,A
12773238,0,B,E,A,D,A,B,E,C,E,C,E,A
12773118,0,A,D,D,B,E,C,A,C,D,A,A,B
12772979,0,D,A,B,B,D,E,C,D,D,E,A,D
12772806,0,D,E,D,A,E,B,E,A,B,E,C,A
12772738,0,B,C,E,B,A,D,D,C,B,E,A,B
12772720,0,D,C,A,D,D,E,B,C,C,E,A,E
12772713,0,E,D,C,E,E,C,B,E,D,B,A,E
12772377,0,E,C,B,A,A,E,C,B,C,E,C,B
12772326,0,D,A,E,C,B,A,D,C,D,A,E,B
